,en,ja_JP
canvas_menu_save_button,Save,保存
canvas_menu_group_button,Group,グループ
canvas_menu_label_button,Label,ラベル
canvas_menu_text_document_button,TxtDoc,テキスト
canvas_menu_bg_color_label,Bg:,背景色:
canvas_menu_lock_button,Lock,ロック
canvas_menu_connect_button,Connect,接続
canvas_menu_unlock_button,Unlock,ロック解除
canvas_menu_sound_label,SndVol:,音量:
Color,Color,色
Black,Black,黒
White,White,白
Red,Red,赤
Orange,Orange,橙
Yellow,Yellow,黄
Green,Green,緑
Blue,Blue,青
Purple,Purple,紫
Custom,Custom,カスタム
connect_size_err,Select 2 Nodes only.,2つだけ選択してください。
Edited data will not be saved.,Edited data will not be saved.,編集中のデータは保存されません。
Edited data will not be saved.text,Edited data will not be saved. \nAre you sure you want to switch the displayed data?,編集中のデータは保存されません。\n画面を切り替えてよろしいですか？
Add json file.,Add json file.,レイアウトファイルを追加する
Duplicate json file.,Duplicate json file.,レイアウトファイルをコピーする
Rename json file.,Rename json file.,レイアウトファイルの名前を変更する
Delete json file.,Delete json file.,レイアウトファイルを削除する
[{0}.json] is invalid name.,[%s.json] is invalid name.,[%s] はファイル名にできないので名前を変えてください
[{0}] is already exists.,[%s] is already exists.,[%s] はすでに存在します
Lock,Lock,ロック
Copy,Copy,コピー
Paste,Paste,ペースト
Copy only this,Copy only this,これだけコピー
Task,Task,タスクにする
Delete,Delete,削除
Edit,Edit,編集
Make TxtDoc,Create TxtDoc,このファイルからテキストをつくる
Make Files,Create Files in this Dir,ディレクトリ内のファイルからつくる
Copy Path,Copy Path,パスをコピー
Copy Link,Copy Link,リンクコピー
Show Play Scene Button,Show Play Scene Button,シーン再生ボタンを表示
Edit Title,Edit Title,タイトル編集
Save,Save,保存
Group Lock,Group Lock,グループ範囲ロック
Group Unlock,Group Unlock,グループ範囲ロック解除
Bg Transparent Light,Bg Transparent Light,背景透明 - 字黒
Bg Transparent Dark,Bg Transparent Dark,背景透明 - 字白
Bg Light,Bg Light,背景白 - 字黒
Bg Dark,Bg Dark,背景黒 - 字白
Color White,Color White Line,白線
Color Black,Color Black Line,黒線
Hide Editable Text,Hide Editable Text,文字編集欄表示
Add Point,Add Point,ポイント追加
Remove Point,Remove Point,ポイント削除
Arrow To,Arrow To,矢印 終点
Arrow From,Arrow From,矢印 始点
Arrow Type Normal,Arrow Type Normal,通常
Play Dialogic Timeline,Play Dialogic Timeline,Dialogic Timelineシーン再生
main_dir_not_exists,[%s] is not exists.,[%s]は存在しないディレクトリです。
main_changed_dir_path,changed directory to [%s],[%s] へディレクトリを変更しました。
tooltip_main_window_button,Open Floating Window,別ウィンドウで開く/閉じる
tooltip_main_split_button,Toggle H Split View,左右ビューに切り替える
tooltip_main_left_button,Select Left(H Split),左のビューを選択する（左右ビューONの場合のみ）
tooltip_main_right_button,Select Right(H Split),右のビューを選択する（左右ビューONの場合のみ）
tooltip_main_reload_button,Reload items,リロード
tooltip_main_add_button,Add new layout,新しいレイアウトを追加する
tooltip_main_duplicate_button,Duplicate selected layout,選択したレイアウトを複製する
tooltip_main_rename_button,rename selected layout,選択したレイアウトの名前を変更する
tooltip_main_remove_button,remove selected layout,選択したレイアウトの名前を削除する
tooltip_main_main_path_line_edit,change layout directory path,レイアウトファイルのディレクトリを変更する